Age,Gender,City,Monthly_Household_Income_AED,Occupation,Health_Consciousness,Fitness_Activities,Servings_per_Week,Motivations,Purchase_Channels,Preferred_Pack_Size,Packaging_Type,Flavor_Preferences,Eco_Friendly_Packaging_Score,Price_Discount_Influence,Willingness_Score,Max_Price_WTP_500ml_AED,Monthly_Spend_AED,Subscription_Plan,Value_Add_Ranking,Brand_Descriptors,Recommended_Brand,Key_Problem,Delivery_Tolerance_Score,Additional_Suggestions
52,Male,Dubai,12600.0,Salaried,4,None,9,"Immunity,Weight control","Gym kiosk,Pharmacy",500 ml,PET bottle,"Unflavored,Vanilla",2,1,5,10.18,634.4399999999999,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Innovative,Affordable",No,Limited flavors,4,Lower the sugar content
19,Male,Sharjah,3200.0,Homemaker,2,"None,Team sports,Running",5,Convenience,Pharmacy,1 L,Tetra Pak,"Tropical,Chocolate",5,5,5,12.23,61.56,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Fun,Premium,Sustainable",No,Too expensive,4,Use recyclable packaging
22,Male,Dubai,5300.0,Salaried,2,"Team sports,Running",4,"Weight control,Taste","Food-delivery app,Gym kiosk",500 ml,Powder pouch,"Unflavored,Coffee,Berry",1,5,2,11.2,40.06,No,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips",Premium,No,Too expensive,2,
64,Male,Dubai,18100.0,Salaried,3,Team sports,2,Taste,"Gym kiosk,Pharmacy,Brand website",500 ml,Tetra Pak,"Unflavored,Vanilla,Tropical",2,1,5,11.71,25.58,Maybe,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals",Affordable,Yes,Limited flavors,4,
48,Female,Dubai,7800.0,Salaried,1,"Team sports,Yoga,None",4,"Weight control,Muscle recovery",Food-delivery app,1 L,PET bottle,"Chocolate,Tropical",1,3,5,13.9,60.22,Maybe,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Affordable,No,Too much sugar,3,Provide protein-rich options
56,Female,Sharjah,13300.0,Self-employed,3,"Running,Gym",1,"Convenience,Weight control","Brand website,Food-delivery app,Pharmacy",1 L,Powder pouch,Unflavored,4,4,6,14.35,12.75,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Innovative,Affordable",Yes,Too much sugar,2,Lower the sugar content
19,Female,Other,10900.0,Salaried,1,Running,2,Muscle recovery,Supermarket,500 ml,PET bottle,"Vanilla,Berry,Chocolate",3,1,10,15.53,37.18,Yes,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Trustworthy,Premium,Affordable",Yes,Hard to find,4,Provide protein-rich options
53,Female,Dubai,13700.0,Salaried,4,"Yoga,Gym",5,Weight control,Food-delivery app,1 L,Tetra Pak,"Coffee,Berry",3,1,3,7.68,31.85,Yes,"1-Loyalty points,2-Bundle deals,3-Personalized nutrition tips,4-Free delivery","Fun,Premium",No,Unclear nutritional info,3,Introduce more flavors
19,Female,Sharjah,3800.0,Retired,1,"Running,Yoga,Gym",1,Immunity,"Pharmacy,Food-delivery app",500 ml,PET bottle,Vanilla,4,5,2,6.76,6.03,No,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Sustainable,Premium",No,Too much sugar,3,
40,Female,Abu Dhabi,9100.0,Self-employed,2,None,3,Muscle recovery,Gym kiosk,250 ml,PET bottle,Tropical,2,3,7,12.84,42.54,Maybe,"1-Personalized nutrition tips,2-Free delivery,3-Loyalty points,4-Bundle deals","Sustainable,Fun",No,Too expensive,3,Use recyclable packaging
29,Female,Abu Dhabi,8500.0,Other,1,Running,4,Taste,Pharmacy,500 ml,Tetra Pak,Vanilla,4,1,5,13.79,47.46,Maybe,"1-Loyalty points,2-Personalized nutrition tips,3-Bundle deals,4-Free delivery","Premium,Sustainable,Trustworthy",No,Too expensive,5,Offer subscription discounts
61,Male,Abu Dhabi,7200.0,Salaried,3,"Running,Team sports",7,"Muscle recovery,Weight control","Food-delivery app,Supermarket",Multi-pack,PET bottle,Unflavored,5,5,5,11.53,80.97,Maybe,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips","Innovative,Fun,Trustworthy",No,Too expensive,4,Use recyclable packaging
42,Female,Dubai,8300.0,Student,3,Yoga,2,"Muscle recovery,Convenience",Food-delivery app,Multi-pack,Powder pouch,"Coffee,Berry,Tropical",3,3,5,14.28,28.71,Maybe,"1-Bundle deals,2-Free delivery,3-Personalized nutrition tips,4-Loyalty points","Affordable,Trustworthy",No,Packaging not eco-friendly,2,Offer subscription discounts
18,Female,Dubai,4500.0,Salaried,1,"Running,None",3,Taste,Food-delivery app,250 ml,Tetra Pak,Chocolate,1,3,3,8.57,20.89,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Sustainable,Affordable",No,Packaging not eco-friendly,2,Offer subscription discounts
62,Male,Dubai,12800.0,Student,5,Yoga,6,Immunity,"Pharmacy,Gym kiosk",250 ml,PET bottle,"Vanilla,Unflavored",3,3,6,9.78,55.72,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Fun,Innovative,Affordable",Yes,Limited flavors,2,
59,Female,Abu Dhabi,7800.0,Self-employed,3,Gym,2,"Muscle recovery,Taste","Pharmacy,Brand website,Food-delivery app",Multi-pack,Tetra Pak,Chocolate,2,3,6,16.48,34.08,Maybe,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Premium,Sustainable",No,Limited flavors,2,Offer subscription discounts
61,Female,Sharjah,18000.0,Homemaker,1,"Yoga,None",3,"Immunity,Taste","Food-delivery app,Gym kiosk,Pharmacy",1 L,Tetra Pak,"Unflavored,Coffee",3,2,2,7.69,27.34,No,"1-Bundle deals,2-Loyalty points,3-Personalized nutrition tips,4-Free delivery","Sustainable,Innovative,Premium",Yes,Hard to find,1,
56,Male,Dubai,10800.0,Salaried,2,Gym,1,"Taste,Immunity",Food-delivery app,250 ml,PET bottle,"Chocolate,Vanilla,Tropical",5,4,2,11.21,12.16,Maybe,"1-Bundle deals,2-Personalized nutrition tips,3-Free delivery,4-Loyalty points","Innovative,Affordable",No,Hard to find,5,Introduce more flavors
47,Female,Abu Dhabi,8400.0,Self-employed,3,"None,Gym,Running",1,Taste,"Brand website,Pharmacy",500 ml,Tetra Pak,"Coffee,Berry",4,1,8,16.31,15.0,Yes,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips",Trustworthy,No,Too expensive,1,Offer subscription discounts
62,Male,Abu Dhabi,3600.0,Salaried,5,Running,6,Convenience,Pharmacy,500 ml,PET bottle,"Chocolate,Unflavored,Tropical",5,5,6,10.12,56.09,Maybe,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Affordable,No,Hard to find,3,Lower the sugar content
32,Male,Ajman,8100.0,Salaried,4,"Running,Gym",5,"Muscle recovery,Weight control","Pharmacy,Brand website",Multi-pack,Recyclable can,Tropical,1,1,9,17.55,104.52,No,"1-Bundle deals,2-Free delivery,3-Personalized nutrition tips,4-Loyalty points","Innovative,Affordable,Premium",Yes,Packaging not eco-friendly,4,Use recyclable packaging
22,Male,Dubai,10000.0,Salaried,3,"Running,None,Gym",7,Weight control,"Pharmacy,Food-delivery app",500 ml,PET bottle,"Vanilla,Coffee,Unflavored",1,2,8,10.9,75.46,No,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips","Trustworthy,Innovative",No,Packaging not eco-friendly,3,Lower the sugar content
45,Female,Sharjah,10300.0,Salaried,5,Team sports,6,"Weight control,Taste","Supermarket,Brand website,Gym kiosk",500 ml,Tetra Pak,"Chocolate,Coffee",5,1,6,11.46,68.55,Maybe,"1-Personalized nutrition tips,2-Free delivery,3-Loyalty points,4-Bundle deals","Innovative,Fun,Premium",Yes,Packaging not eco-friendly,4,Offer subscription discounts
39,Female,Sharjah,38300.0,Salaried,1,Running,3,Weight control,Pharmacy,1 L,Recyclable can,Coffee,2,2,3,10.18,30.57,Yes,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Fun,Affordable",Yes,Too much sugar,4,Offer subscription discounts
59,Male,Abu Dhabi,33500.0,Salaried,1,"None,Running",2,Weight control,Brand website,500 ml,PET bottle,"Tropical,Vanilla",5,5,1,9.9,18.01,Yes,"1-Loyalty points,2-Free delivery,3-Personalized nutrition tips,4-Bundle deals",Affordable,Yes,Limited flavors,5,Offer subscription discounts
56,Female,Sharjah,3700.0,Retired,5,"Running,Gym",4,Convenience,"Supermarket,Gym kiosk,Brand website",250 ml,Recyclable can,"Berry,Vanilla",2,4,8,12.32,44.32,Yes,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points",Sustainable,Yes,Packaging not eco-friendly,4,
60,Female,Other,11100.0,Self-employed,4,"Running,Gym",4,"Weight control,Muscle recovery","Supermarket,Brand website,Gym kiosk",500 ml,Recyclable can,Vanilla,4,4,5,13.02,61.11,Yes,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Sustainable,Premium,Innovative",Yes,Packaging not eco-friendly,5,Provide protein-rich options
39,Male,Dubai,24200.0,Student,5,"Gym,Team sports,None",6,"Weight control,Immunity",Food-delivery app,500 ml,Tetra Pak,"Chocolate,Berry,Coffee",4,4,9,18.23,120.13,Yes,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery",Trustworthy,Yes,Too much sugar,4,Provide protein-rich options
33,Female,Dubai,5700.0,Salaried,5,"None,Gym",4,Weight control,"Brand website,Gym kiosk,Food-delivery app",500 ml,Recyclable can,"Berry,Chocolate",2,4,6,9.17,43.92,No,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Fun,Affordable,Innovative",No,Too much sugar,1,Use recyclable packaging
31,Male,Dubai,4800.0,Student,2,"None,Yoga",4,Convenience,Supermarket,500 ml,Powder pouch,"Unflavored,Tropical",3,5,4,10.69,41.43,Maybe,"1-Loyalty points,2-Personalized nutrition tips,3-Free delivery,4-Bundle deals","Innovative,Sustainable,Trustworthy",Yes,Too much sugar,5,
63,Male,Sharjah,11000.0,Student,2,Team sports,2,"Weight control,Muscle recovery","Pharmacy,Food-delivery app",1 L,PET bottle,"Tropical,Chocolate,Berry",5,4,6,13.49,27.68,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Loyalty points,4-Free delivery","Affordable,Sustainable",Yes,Hard to find,4,Provide protein-rich options
25,Male,Sharjah,6400.0,Salaried,4,Running,6,Muscle recovery,Supermarket,250 ml,Tetra Pak,"Vanilla,Unflavored",1,2,5,10.43,54.14,No,"1-Loyalty points,2-Personalized nutrition tips,3-Bundle deals,4-Free delivery",Premium,No,Too expensive,2,Use recyclable packaging
26,Female,Dubai,29100.0,Salaried,1,"Gym,Yoga",2,"Weight control,Muscle recovery","Pharmacy,Supermarket,Food-delivery app",500 ml,Tetra Pak,"Chocolate,Vanilla,Coffee",2,2,7,15.38,32.99,No,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Fun,Yes,Packaging not eco-friendly,2,Offer subscription discounts
36,Female,Sharjah,22500.0,Salaried,4,"Running,Yoga",6,"Convenience,Taste","Food-delivery app,Pharmacy",500 ml,Tetra Pak,"Berry,Vanilla",3,4,5,10.58,64.62,No,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips","Affordable,Sustainable",No,Unclear nutritional info,2,Use recyclable packaging
65,Non-binary,Dubai,5600.0,Salaried,2,Running,1,Convenience,Supermarket,1 L,PET bottle,Chocolate,4,3,8,14.22,11.8,No,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Sustainable,No,Too expensive,5,
48,Male,Dubai,3200.0,Student,3,Gym,2,"Muscle recovery,Immunity","Supermarket,Pharmacy,Brand website",500 ml,PET bottle,"Vanilla,Coffee,Chocolate",2,4,7,12.64,25.44,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Trustworthy,Affordable",Yes,Too expensive,3,Lower the sugar content
38,Male,Sharjah,8900.0,Homemaker,3,None,3,Taste,"Supermarket,Gym kiosk,Brand website",500 ml,Tetra Pak,Tropical,1,5,5,10.28,33.33,Maybe,"1-Personalized nutrition tips,2-Bundle deals,3-Free delivery,4-Loyalty points",Affordable,Yes,Too much sugar,5,Provide protein-rich options
24,Female,Sharjah,1900.0,Salaried,2,"None,Yoga,Running",6,Weight control,"Supermarket,Gym kiosk,Food-delivery app",1 L,Tetra Pak,Vanilla,1,1,5,10.42,70.65,Yes,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Trustworthy,Innovative,Affordable",No,Unclear nutritional info,3,Lower the sugar content
18,Male,Dubai,4300.0,Student,3,"Team sports,Yoga,Gym",2,"Convenience,Weight control","Pharmacy,Food-delivery app",Multi-pack,Recyclable can,"Chocolate,Vanilla",1,4,4,7.68,18.0,Yes,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips",Innovative,Yes,Too much sugar,4,Provide protein-rich options
18,Female,Other,6200.0,Salaried,4,"Gym,None,Yoga",8,"Taste,Weight control",Food-delivery app,1 L,PET bottle,Chocolate,5,2,5,13.43,90.95,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals",Trustworthy,No,Too much sugar,4,Lower the sugar content
24,Non-binary,Sharjah,9500.0,Salaried,5,Gym,3,"Immunity,Weight control","Brand website,Supermarket",250 ml,PET bottle,"Berry,Vanilla",5,4,5,9.73,26.37,No,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Sustainable,Affordable",Yes,Too much sugar,2,Provide protein-rich options
37,Male,Sharjah,4100.0,Student,1,Gym,1,Weight control,"Supermarket,Food-delivery app,Pharmacy",1 L,PET bottle,Chocolate,4,3,6,8.04,8.92,Maybe,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Innovative,Sustainable",Yes,Unclear nutritional info,2,
36,Female,Sharjah,2000.0,Self-employed,1,Gym,0,"Taste,Muscle recovery","Pharmacy,Gym kiosk,Supermarket",500 ml,Tetra Pak,Tropical,4,2,5,10.78,0.0,No,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips","Affordable,Premium",No,Hard to find,2,Lower the sugar content
59,Female,Other,10700.0,Salaried,4,"Gym,Team sports,None",4,Weight control,"Brand website,Gym kiosk,Supermarket",250 ml,Tetra Pak,Vanilla,3,2,7,13.87,50.02,Maybe,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Premium,Trustworthy",Yes,Unclear nutritional info,4,Introduce more flavors
42,Female,Abu Dhabi,3500.0,Self-employed,3,"Gym,Team sports,Yoga",1,Convenience,"Supermarket,Food-delivery app",500 ml,PET bottle,Berry,5,3,8,10.96,9.58,Yes,"1-Bundle deals,2-Personalized nutrition tips,3-Loyalty points,4-Free delivery",Premium,No,Too much sugar,5,Provide protein-rich options
58,Female,Dubai,19100.0,Student,5,"Gym,Running,None",5,Convenience,Brand website,500 ml,Tetra Pak,"Unflavored,Chocolate",3,2,4,11.11,59.82,Maybe,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Innovative,Fun,Sustainable",No,Packaging not eco-friendly,4,
33,Female,Sharjah,6200.0,Salaried,2,"Gym,Yoga,Running",1,"Immunity,Taste",Supermarket,1 L,PET bottle,"Tropical,Unflavored,Berry",1,4,6,13.06,12.93,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals",Innovative,No,Packaging not eco-friendly,1,Introduce more flavors
45,Male,Sharjah,8300.0,Salaried,2,Running,1,Muscle recovery,"Supermarket,Brand website",500 ml,Powder pouch,"Coffee,Berry,Unflavored",2,2,7,12.39,12.62,No,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Premium,Fun,Sustainable",Yes,Packaging not eco-friendly,3,Offer subscription discounts
37,Male,Other,5200.0,Other,3,"None,Team sports,Running",4,"Immunity,Convenience","Food-delivery app,Supermarket,Brand website",500 ml,PET bottle,"Chocolate,Tropical",3,5,5,12.19,46.69,Yes,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals","Innovative,Trustworthy,Premium",No,Limited flavors,1,Lower the sugar content
32,Female,Dubai,3700.0,Salaried,3,"Gym,Yoga",6,"Weight control,Taste","Pharmacy,Brand website",500 ml,PET bottle,"Vanilla,Chocolate,Tropical",4,4,3,7.81,44.1,No,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips",Premium,No,Unclear nutritional info,3,Offer subscription discounts
55,Female,Dubai,38000.0,Salaried,2,Gym,2,"Muscle recovery,Immunity","Supermarket,Food-delivery app",500 ml,Tetra Pak,Chocolate,4,1,8,11.38,25.5,Maybe,"1-Bundle deals,2-Free delivery,3-Personalized nutrition tips,4-Loyalty points","Fun,Sustainable",Yes,Packaging not eco-friendly,3,Offer subscription discounts
53,Female,Dubai,8100.0,Retired,4,"None,Team sports,Yoga",5,Convenience,"Supermarket,Food-delivery app",1 L,PET bottle,"Vanilla,Chocolate,Berry",2,4,5,10.38,51.72,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Sustainable,Trustworthy",No,Too expensive,4,Introduce more flavors
25,Prefer not to say,Abu Dhabi,9800.0,Salaried,2,"Gym,Yoga,Team sports",0,Immunity,"Supermarket,Gym kiosk",500 ml,Recyclable can,Berry,1,4,6,11.85,0.0,Maybe,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips","Trustworthy,Innovative,Fun",Yes,Too much sugar,5,Lower the sugar content
48,Female,Dubai,40800.0,Homemaker,5,Team sports,8,Convenience,"Gym kiosk,Brand website,Food-delivery app",500 ml,PET bottle,Chocolate,5,4,4,7.71,54.24,No,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Fun,Trustworthy",No,Too expensive,4,Introduce more flavors
38,Female,Dubai,3900.0,Self-employed,4,"Yoga,Running,Team sports",4,Immunity,"Food-delivery app,Gym kiosk",500 ml,PET bottle,"Tropical,Berry,Chocolate",4,4,5,11.12,39.48,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Affordable,Innovative",No,Limited flavors,5,Provide protein-rich options
51,Female,Abu Dhabi,5000.0,Student,3,None,3,Weight control,Supermarket,250 ml,Tetra Pak,Berry,2,5,8,18.62,62.49,Yes,"1-Free delivery,2-Bundle deals,3-Loyalty points,4-Personalized nutrition tips","Sustainable,Premium",No,Packaging not eco-friendly,5,Lower the sugar content
42,Female,Sharjah,7800.0,Student,2,Gym,1,"Convenience,Immunity","Food-delivery app,Brand website,Supermarket",250 ml,PET bottle,Tropical,5,4,4,7.81,6.86,Maybe,"1-Free delivery,2-Loyalty points,3-Bundle deals,4-Personalized nutrition tips","Sustainable,Fun",No,Too expensive,2,Offer subscription discounts
63,Female,Abu Dhabi,4700.0,Student,5,Running,6,Immunity,"Brand website,Gym kiosk,Supermarket",500 ml,PET bottle,"Vanilla,Unflavored,Chocolate",1,5,4,9.28,64.9,Yes,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Fun,Trustworthy",No,Hard to find,1,Introduce more flavors
46,Male,Dubai,10300.0,Salaried,4,"Team sports,Running",5,Immunity,"Supermarket,Food-delivery app,Brand website",250 ml,Powder pouch,"Vanilla,Chocolate,Tropical",2,3,7,14.06,69.35,Maybe,"1-Free delivery,2-Personalized nutrition tips,3-Loyalty points,4-Bundle deals","Innovative,Premium",Yes,Unclear nutritional info,3,Lower the sugar content
64,Female,Abu Dhabi,23500.0,Student,3,"Yoga,Running",4,"Muscle recovery,Immunity",Food-delivery app,250 ml,Powder pouch,Coffee,1,2,6,10.58,41.67,Maybe,"1-Free delivery,2-Loyalty points,3-Bundle deals,4-Personalized nutrition tips","Affordable,Fun,Innovative",No,Limited flavors,3,Lower the sugar content
57,Prefer not to say,Abu Dhabi,7100.0,Salaried,2,"Yoga,Gym",2,Immunity,"Pharmacy,Supermarket,Brand website",1 L,PET bottle,"Chocolate,Tropical,Berry",3,2,5,8.3,13.6,No,"1-Free delivery,2-Loyalty points,3-Personalized nutrition tips,4-Bundle deals",Premium,No,Too much sugar,5,Use recyclable packaging
43,Female,Sharjah,6500.0,Salaried,5,"Team sports,Running",3,Muscle recovery,Supermarket,500 ml,Recyclable can,Chocolate,3,4,5,11.81,34.72,No,"1-Loyalty points,2-Personalized nutrition tips,3-Free delivery,4-Bundle deals",Trustworthy,No,Too expensive,1,Provide protein-rich options
41,Male,Sharjah,4600.0,Student,5,"None,Gym",5,Immunity,"Gym kiosk,Food-delivery app,Pharmacy",1 L,PET bottle,"Chocolate,Vanilla",5,1,7,15.47,91.71,Yes,"1-Bundle deals,2-Free delivery,3-Loyalty points,4-Personalized nutrition tips","Sustainable,Affordable,Fun",No,Too much sugar,5,Lower the sugar content
18,Female,Al Ain,8400.0,Self-employed,5,"Running,None,Gym",3,"Taste,Muscle recovery","Food-delivery app,Brand website,Supermarket",1 L,PET bottle,"Berry,Coffee,Tropical",5,3,6,8.53,24.69,Yes,"1-Loyalty points,2-Personalized nutrition tips,3-Free delivery,4-Bundle deals",Affordable,Yes,Hard to find,1,Provide protein-rich options
41,Female,Al Ain,10200.0,Other,1,Yoga,1,"Immunity,Convenience",Food-delivery app,1 L,Tetra Pak,"Tropical,Berry,Vanilla",4,2,1,4.76,4.95,No,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Sustainable,Premium",No,Too much sugar,4,Provide protein-rich options
57,Male,Dubai,6500.0,Self-employed,3,Team sports,4,"Convenience,Muscle recovery",Food-delivery app,250 ml,PET bottle,Vanilla,5,1,4,9.0,39.41,Maybe,"1-Loyalty points,2-Personalized nutrition tips,3-Bundle deals,4-Free delivery",Trustworthy,No,Too much sugar,4,Provide protein-rich options
53,Male,Dubai,4300.0,Student,2,Running,5,Weight control,Supermarket,500 ml,PET bottle,Chocolate,3,1,6,13.25,56.56,Maybe,"1-Free delivery,2-Loyalty points,3-Bundle deals,4-Personalized nutrition tips","Trustworthy,Sustainable",Yes,Too much sugar,5,Introduce more flavors
48,Prefer not to say,Dubai,6600.0,Student,1,"Gym,None,Team sports",2,"Convenience,Muscle recovery",Brand website,500 ml,Tetra Pak,"Chocolate,Berry",5,2,1,8.08,13.83,No,"1-Free delivery,2-Bundle deals,3-Personalized nutrition tips,4-Loyalty points","Affordable,Innovative",No,Too expensive,5,Offer subscription discounts
50,Male,Abu Dhabi,8900.0,Salaried,1,"Team sports,Running",3,"Muscle recovery,Convenience","Gym kiosk,Food-delivery app",250 ml,Tetra Pak,"Chocolate,Unflavored,Tropical",5,2,4,12.68,43.81,No,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Sustainable,Fun,Innovative",No,Too much sugar,1,Introduce more flavors
